cui,umls_concept,entity_norm
C0027831,Neurofibromatosis 1,neurofibromatosis 1
C0694888,PTEN gene,pten gene
C0000744,Abetalipoproteinemia,abetalipoproteinemia
C0080064,Proto-Oncogene Proteins c-abl,protooncogene proteins cabl
C1150607,protein tyrosine kinase activity,protein tyrosine kinase activity
C0004891,"Fusion Proteins, bcr-abl",fusion proteins bcrabl
C0105421,"BCR protein, human",bcr protein human
C5550920,Cyclin-dependent Kinase 4 Inhibitors,cyclindependent kinase 4 inhibitors
C0751483,Familial Retinoblastoma,familial retinoblastoma
C0080113,Retinoblastoma Protein,retinoblastoma protein
C0035335,Retinoblastoma,retinoblastoma
C0062776,histone methyltransferase,histone methyltransferase
C0525037,CDKN2A gene,cdkn2a gene
C3849193,"TGFA protein, human",tgfa protein human
C1283071,Release - action (qualifier value),release action qualifier value
C1332838,Candidate Disease Gene,candidate disease gene
C0291135,E2F4 Transcription Factor,e2f4 transcription factor
C1548788,Inappropriate,inappropriate
C0812222,MDM2 gene,mdm2 gene
C0029007,Oncogene Protein p21(ras),oncogene protein p21ras
C1419067,PTGES gene,ptges gene
C0008656,"Chromosomes, Human, Pair 14",chromosomes human pair 14
C0008660,"Chromosomes, Human, Pair 18",chromosomes human pair 18
C0023473,"Myeloid Leukemia, Chronic",myeloid leukemia chronic
C0008672,"Chromosomes, Human, Pair 9",chromosomes human pair 9
C0808901,EWSR1 gene,ewsr1 gene
C0808900,FLI1 gene,fli1 gene
C0085104,Drug Delivery Systems,drug delivery systems
C4744534,TP53 Negative,tp53 negative
C1514559,Protein Overexpression,protein overexpression
C0278252,Prognosis bad,prognosis bad
C0679058,encoding mental process,encoding mental process
C1513354,Mitotic,mitotic
C0008659,"Chromosomes, Human, Pair 17",chromosomes human pair 17
C0008662,"Chromosomes, Human, Pair 2",chromosomes human pair 2
C0035696,"RNA, Messenger",rna messenger
C0597611,Tumor Suppressor Proteins,tumor suppressor proteins
C1512772,Anastasis,anastasis
C0024121,Lung Neoplasms,lung neoplasms
C2004493,"Leukemia, B-Cell",leukemia bcell
C5670535,Global DNA Hypomethylation,global dna hypomethylation
C1257806,Chromosomal Instability,chromosomal instability
C0023492,"Leukemia, T-Cell",leukemia tcell
C1260953,Suppressed,suppressed
C1709246,Non-Neoplastic Disorder,nonneoplastic disorder
C1654934,Immune Evasion,immune evasion
C1154711,response to ether,response to ether
C0281361,Adenocarcinoma of pancreas,adenocarcinoma of pancreas
C0061928,GTPase-Activating Proteins,gtpaseactivating proteins
C1519724,Tyrosine Kinase Domain,tyrosine kinase domain
C0004388,Autonomic nervous system,autonomic nervous system
C0006118,Brain Neoplasms,brain neoplasms
C0346647,Malignant neoplasm of pancreas,malignant neoplasm of pancreas
C0149925,Small cell carcinoma of lung,small cell carcinoma of lung
C0005684,Malignant neoplasm of urinary bladder,malignant neoplasm of urinary bladder
C0029463,Osteosarcoma,osteosarcoma
C0012940,DNA-Binding Proteins,dnabinding proteins
C1517341,G1 to S Transition Process,g1 to s transition process
C0146462,E2F transcription factors,e2f transcription factors
C1384539,E2F1 Transcription Factor,e2f1 transcription factor
C0111429,Cyclin E,cyclin e
C0018517,Half-Life,halflife
C0205340,Repaired,repaired
C0597602,transforming virus,transforming virus
C1335278,PTN gene,ptn gene
C4505106,Loss of Function Mutation,loss of function mutation
C0528559,"SMAD1 protein, human",smad1 protein human
C0013963,Emergency Medical Technicians,emergency medical technicians
C0042172,E-Cadherin,ecadherin
C0027832,Neurofibromatosis 2,neurofibromatosis 2
C0083725,Neurofibromatosis Type 1 Protein,neurofibromatosis type 1 protein
C0085114,NF2 gene,nf2 gene
C0162832,APC gene,apc gene
C0032580,Adenomatous Polyposis Coli,adenomatous polyposis coli
C0206677,Adenomatous Polyps,adenomatous polyps
C0028236,Nobel Prize,nobel prize
C0046056,fluorodeoxyglucose F18,fluorodeoxyglucose f18
C1291081,Metabolic Pathway,metabolic pathway
C0920502,Embryonic tissue,embryonic tissue
C3159038,growing cell tip,growing cell tip
C0001026,acetyl coenzyme A,acetyl coenzyme a
C0008857,Citrates,citrates
C0003790,Arkansas,arkansas
C0034348,Pyruvate Kinase,pyruvate kinase
C0017796,Glutaminase,glutaminase
C0027303,NADP,nadp
C1711381,RET Gene Mutation,ret gene mutation
C2697642,IDH1 wt Allele,idh1 wt allele
C0051380,alpha-hydroxyglutarate,alphahydroxyglutarate
C1825692,TET2 gene,tet2 gene
C0215343,"MCL1 protein, human",mcl1 protein human
C0038027,Reproduction spores,reproduction spores
C1366587,MCL1 gene,mcl1 gene
C1332713,CD47 gene,cd47 gene
C1332098,APAF1 gene,apaf1 gene
C0291573,caspase-3,caspase3
C0600253,Intracisternal A-Particle Elements,intracisternal aparticle elements
C1070653,Puma <Felidae>,puma felidae
C0017351,IGH gene,igh gene
C0023434,Chronic Lymphocytic Leukemia,chronic lymphocytic leukemia
C4524828,RB1 Gene Mutation,rb1 gene mutation
C0333710,Dicentric chromosome,dicentric chromosome
C2610961,Mitotic Catastrophe,mitotic catastrophe
C4551463,Colonic adenomas,colonic adenomas
C5205543,Malignant Lesion,malignant lesion
C0280100,Solid Neoplasm,solid neoplasm
C0027686,Pathologic Neovascularization,pathologic neovascularization
C0037657,Somatomedins,somatomedins
C1658953,tumor vasculature,tumor vasculature
C1707719,Switch Device,switch device
C4277548,Cancer-Associated Fibroblasts,cancerassociated fibroblasts
C1517342,Negative Regulation of G1 Phase,negative regulation of g1 phase
C1515171,TP53 Gene Inactivation,tp53 gene inactivation
C4329454,Biallelic Mutation,biallelic mutation
C0214897,transforming growth factor-beta type II receptor,transforming growth factorbeta type ii receptor
C1523298,epithelial to mesenchymal transition,epithelial to mesenchymal transition
C0009835,Contact Inhibition,contact inhibition
C0868955,Edit,edit
C4721610,"Carcinoma, Ovarian Epithelial",carcinoma ovarian epithelial
C3820790,glycolytic fermentation via PFOR pathway,glycolytic fermentation via pfor pathway
C0032743,Positron-Emission Tomography,positronemission tomography
C0015852,Fermentation,fermentation
C1335851,SNCG gene,sncg gene
C1883254,Synthesis,synthesis
C2613298,cellular component maintenance,cellular component maintenance
C1818891,mitochondrial DNA metabolic process,mitochondrial dna metabolic process
C0556991,Fuel,fuel
C0243144,Uptake,uptake
C0522505,Upstream,upstream
C1454487,"MYC protein, human",myc protein human
C0441513,Surgical construction,surgical construction
C0022157,Isocitrate Dehydrogenase (NAD+),isocitrate dehydrogenase nad
C0585361,Twice a day,twice a day
C1516360,Cell Stress Process,cell stress process
C1520801,18q21.1,18q211
C1520599,14q32,14q32
C0234227,Indolent,indolent
C1999216,Inhibitor,inhibitor
C0002788,Mitotic Anaphase,mitotic anaphase
C3899394,Definitely,definitely
C0034865,"Recombination, Genetic",recombination genetic
C0338106,Adenocarcinoma of colon,adenocarcinoma of colon
C3273253,Complex Karyotype,complex karyotype
C1511689,DNA Repair Pathway,dna repair pathway
C0206503,Dental Waste,dental waste
C0700124,Dilated,dilated
C3274558,Great vessel abnormalities,great vessel abnormalities
C0444498,In situ,in situ
C0596087,Angiogenesis Inhibitors,angiogenesis inhibitors
C0290149,Angiostatins,angiostatins
C0534628,Endostatins,endostatins
C0259990,Oncologists,oncologists
C0796392,bevacizumab,bevacizumab
C0877373,Advanced Malignant Neoplasm,advanced malignant neoplasm
C0147139,Thrombospondin 1,thrombospondin 1
C1707310,Cascade Device,cascade device
C0013930,"Embolism, Tumor",embolism tumor
C0694872,CDH1 gene,cdh1 gene
C0007427,CATHEPSIN D,cathepsin d
C0042071,urokinase,urokinase
C0165519,Matrix Metalloproteinase 9,matrix metalloproteinase 9
C1152589,metalloendopeptidase inhibitor activity,metalloendopeptidase inhibitor activity
C0085144,Autocrine Motility Factor,autocrine motility factor
C0023946,Locomotion,locomotion
C1621958,Glioblastoma Multiforme,glioblastoma multiforme
C4330475,Immune Cell,immune cell
C0033607,Protease Inhibitors,protease inhibitors
C4505151,Liquid Biopsy,liquid biopsy
C4331441,Tumor DNA,tumor dna
C1513276,Neoplasm Micrometastasis,neoplasm micrometastasis
C0012524,Catechol Oxidase,catechol oxidase
C1422072,MAGEC2 gene,magec2 gene
C0012923,DNA Viruses,dna viruses
C1423842,NELFCD gene,nelfcd gene
C5392070,Immune Checkpoint Proteins,immune checkpoint proteins
C0965245,"CD274 protein, human",cd274 protein human
C0425152,Engaged to be married,engaged to be married
C5436988,Autoimmune manifestations,autoimmune manifestations
C0004381,Automobiles,automobiles
C4684977,Immune Checkpoint Inhibitors,immune checkpoint inhibitors
C0005516,Biological Markers,biological markers
C0086143,Diagnostic tests,diagnostic tests
C0021083,Immunotherapy,immunotherapy
C1155661,Mismatch Repair,mismatch repair
C0524550,Nucleotide Excision Repair,nucleotide excision repair
C1158512,recombinational repair,recombinational repair
C1519302,Short Tandem Repeat,short tandem repeat
C0252642,"MLH1 protein, human",mlh1 protein human
C0920269,Microsatellite Instability,microsatellite instability
C0043346,Xeroderma Pigmentosum,xeroderma pigmentosum
C0005859,Bloom Syndrome,bloom syndrome
C0015625,Fanconi Anemia,fanconi anemia
C0033640,Protein Kinases,protein kinases
C1150636,vascular endothelial growth factor receptor activity,vascular endothelial growth factor receptor activity
C0346429,Multiple malignancy,multiple malignancy
C1276305,Curative - procedure intent,curative procedure intent
C0280950,cancer-related problem/condition,cancerrelated problemcondition
C0521723,"Corneal dystrophy, epithelial basement membrane",corneal dystrophy epithelial basement membrane
C0812384,EMP1 gene,emp1 gene
C1158489,intron homing,intron homing
C0231185,Inefficient,inefficient
C0037775,Spatial Distribution,spatial distribution
C0038817,Sunlight,sunlight
C1157720,melanin biosynthetic process,melanin biosynthetic process
C2350024,Metabolic Stress,metabolic stress
C0026428,"Monitoring, Immunologic",monitoring immunologic
C4553328,Clinical Outcome Assessment,clinical outcome assessment
C0205269,Unresponsive to Treatment,unresponsive to treatment
C1519680,Tumor Immunity,tumor immunity
C4015070,Systemic autoinflammation,systemic autoinflammation
C4039583,Chimeric antigen receptor,chimeric antigen receptor
C0349636,Pre B-cell acute lymphoblastic leukemia,pre bcell acute lymphoblastic leukemia
C0026879,Mutagens,mutagens
C0007531,Cecum,cecum
C0150103,MATCHING,matching
C0796369,microsatellite instability diagnostic test,microsatellite instability diagnostic test
C4331357,Sun-exposed Site,sunexposed site
C0010360,Cross-Linking Reagents,crosslinking reagents
C0025033,mechlorethamine,mechlorethamine
C0294028,BRCA2 Protein,brca2 protein
C1419240,RAD51 gene,rad51 gene
C1519877,V(D)J Recombination,vdj recombination
C0021588,AID - Artificial insemination by donor,aid artificial insemination by donor
C1817823,somatic diversification of immunoglobulins,somatic diversification of immunoglobulins
C1999002,Actual Negative Coping,actual negative coping
C0085218,RAG1 gene,rag1 gene
C1419248,RAG2 gene,rag2 gene
C0677898,Invasive Malignant Neoplasm,invasive malignant neoplasm
C0872097,Anoikis,anoikis
C3891660,Tumor-Associated Macrophage,tumorassociated macrophage
C0184661,Interventional procedure,interventional procedure
C1257954,Cyclooxygenase 2 Inhibitors,cyclooxygenase 2 inhibitors
C0864963,Malignant neoplasm of skin of scrotum,malignant neoplasm of skin of scrotum
C2916831,HER1 Antagonists,her1 antagonists
C1515259,Telomerase Inhibitor,telomerase inhibitor
C0151686,Growth retardation,growth retardation
C0002073,Alkylating Agents,alkylating agents
C0032457,Polycyclic Hydrocarbons,polycyclic hydrocarbons
C0005052,benzopyrene,benzopyrene
C0010583,cyclophosphamide,cyclophosphamide
C0008163,chlorambucil,chlorambucil
C0028210,Nitrosourea Compounds,nitrosourea compounds
C0220794,benzanthracene,benzanthracene
C0050385,cyclophosphamide/doxorubicin protocol,cyclophosphamidedoxorubicin protocol
C0000677,"9,10-Dimethyl-1,2-benzanthracene",910dimethyl12benzanthracene
C0682958,Aromatic Amines,aromatic amines
C0002482,Amides,amides
C0301161,Azo Dyes,azo dyes
C0028197,Nitrosamines,nitrosamines
C0042684,vinyl chloride,vinyl chloride
C0028013,nickel,nickel
C0008574,chromium,chromium
C0032447,Polychlorinated Biphenyls,polychlorinated biphenyls
C0014630,Epoxy Compounds,epoxy compounds
C0596040,adduct,adduct
C0000300,2-Naphthylamine,2naphthylamine
C0025513,"Activation, Metabolic",activation metabolic
C1414672,FOXD3 gene,foxd3 gene
C0085180,aflatoxin B1,aflatoxin b1
C0004034,Aspergillus,aspergillus
C0369241,Filamentous fungus,filamentous fungus
C0028137,Nitrites,nitrites
C0001734,Aflatoxins,aflatoxins
C0041370,Tumor Promoters,tumor promoters
C1306645,Plain x-ray,plain xray
C0028576,Nuclear Fission,nuclear fission
C0034595,Radioisotopes,radioisotopes
C1955852,Atomic Bombs,atomic bombs
C1449773,Chernobyl Nuclear Accident,chernobyl nuclear accident
C1515001,Chromosomal structural abnormalities,chromosomal structural abnormalities
C0699893,Skin carcinoma,skin carcinoma
C0034286,Pyrimidine Dimers,pyrimidine dimers
C0376628,Chromosome Breakage,chromosome breakage
C0035691,RNA Viruses,rna viruses
C0020094,Human T-lymphotropic virus 1,human tlymphotropic virus 1
C0023493,Adult T-Cell Lymphoma/Leukemia,adult tcell lymphomaleukemia
C0085224,Virus Integration,virus integration
C0039371,Taxes,taxes
C1155046,T-Cell Proliferation,tcell proliferation
C1444783,Instability,instability
C4687416,Human Herpesvirus 8 Positive,human herpesvirus 8 positive
C0205832,Merkel Cells,merkel cells
C0019169,hepatitis B virus,hepatitis b virus
C0019196,Hepatitis C,hepatitis c
C0019163,Hepatitis B,hepatitis b
C0024530,Malaria,malaria
C0343640,African Burkitt's lymphoma,african burkitts lymphoma
C1334346,LMP1 EBV latent membrane protein,lmp1 ebv latent membrane protein
C3641847,Epstein-Barr Nuclear Antigen 2,epsteinbarr nuclear antigen 2
C2931822,Nasopharyngeal carcinoma,nasopharyngeal carcinoma
C5668307,Oncogenic,oncogenic
C4521834,US Military enlisted E6,us military enlisted e6
C4521536,US Military enlisted E7,us military enlisted e7
C3714412,Bioactive substance,bioactive substance
C0282641,Transgenes,transgenes
C0262201,Area X,area x
C0376358,Malignant neoplasm of prostate,malignant neoplasm of prostate
C0333704,Chromosome Breaks,chromosome breaks
C0346153,"Breast Cancer, Familial",breast cancer familial
C2984260,Nucleotide Excision Repair Pathway,nucleotide excision repair pathway
C2936626,Tumor Microenvironment,tumor microenvironment
C1880263,Deep Tissue Invasion,deep tissue invasion
C1707283,Carcinogenic Metal,carcinogenic metal
C3271788,vascular endothelial growth factor signaling pathway,vascular endothelial growth factor signaling pathway
C0301429,Animal fat,animal fat
C4316305,Oral Anti-Cancer Drugs,oral anticancer drugs
C0596089,aniline dye,aniline dye
C1698986,Storage,storage
C0016485,Food Preservatives,food preservatives
C4721806,Skin Basal Cell Carcinoma,skin basal cell carcinoma
C0003062,Animals,animals
C1012339,Rabbit endogenous retrovirus H,rabbit endogenous retrovirus h
C0022341,Japan,japan
C0043122,Caribbean Islands,caribbean islands
C0037713,South America,south america
C0456388,Blood product,blood product
C0006147,Breast Feeding,breast feeding
C0598766,Leukemogenesis,leukemogenesis
C0079428,tax Genes,tax genes
C0044602,1-Phosphatidylinositol 3-Kinase,1phosphatidylinositol 3kinase
C1155872,Cell Cycle Control,cell cycle control
C0007129,Merkel cell carcinoma,merkel cell carcinoma
C0279000,Liver and Intrahepatic Biliary Tract Carcinoma,liver and intrahepatic biliary tract carcinoma
C1615608,Pandemics,pandemics
C0020987,Immunocompetence,immunocompetence
C0883208,Lymphoma cells,lymphoma cells
C4287935,t(8;14),t814
C4725699,Fibrin-Associated Diffuse Large B-Cell Lymphoma,fibrinassociated diffuse large bcell lymphoma
C1710133,South,south
C0085695,Chronic gastritis,chronic gastritis
C1257899,Genotoxic Stress,genotoxic stress
C0345904,Malignant neoplasm of liver,malignant neoplasm of liver
peristaltic pull of the gut,peristaltic pull of the gut,peristaltic pull of the gut
